name,official_url,x_url,linkedin_url,contact_url,mailto,notes
Gamma,https://gamma.app/,,,https://gamma.app/contact,,site/contact-first
HeyGen,https://www.heygen.com/,https://x.com/HeyGen,https://www.linkedin.com/company/heygen,https://help.heygen.com/en/,,x-first
Captions,https://www.captions.ai/,,,https://www.captions.ai/contact,,site/contact-first
OpusClip,https://www.opus.pro/,https://twitter.com/opusclip,https://www.linkedin.com/company/opusclip,https://help.opus.pro/,,x-first
ElevenLabs,https://elevenlabs.io/,https://x.com/ElevenLabsDevs,https://linkedin.com/in/yourprofile\,https://elevenlabs.io/contact-sales?platform=agents\,,x-first
Lovable,https://lovable.dev/,https://twitter.com/Lovable,https://www.linkedin.com/company/lovable-dev,https://lovable.dev/support,,x-first
Bolt.new,https://bolt.new/,https://x.com/boltdotnew,https://www.linkedin.com/company/stackblitz,https://support.bolt.new,,x-first
Cursor,https://cursor.com/,https://twitter.com/cursor_ai,https://www.linkedin.com/company/cursorai,https://cursor.com/contact-sales,,x-first
Luma AI,https://lumalabs.ai/,https://x.com/LumaLabsAI,https://www.linkedin.com/company/luma-ai,https://lumalabs.ai/contact,,x-first
Writesonic,https://writesonic.com/,https://x.com/WriteSonic,https://www.linkedin.com/company/writesonic/,https://writesonic.com/about-us,,x-first
